#mammos csv v2
#----------------------------------------
# These extrinsic properties were calculated using mammos-mumag simulations with 300 steps.
#----------------------------------------
#ThermodynamicTemperature,CoercivityHcExternal,Remanence,MaximumEnergyProduct
#https://w3id.org/emmo#EMMO_affe07e4_e9bc_4852_86c6_69e26182a17f,https://w3id.org/emmo/domain/magnetic_material#EMMO_fe101d1d-f1f7-54f8-886b-fa6d6052ce98,https://w3id.org/emmo/domain/magnetic_material#EMMO_8fc78216-4859-53c2-b41e-e38062b04054,https://w3id.org/emmo/domain/magnetic_material#EMMO_e1028129-c23e-57ac-9174-2f34ddbf3926
#K,A / m,A / m,J / m3
T,Hc,Mr,BHmax
0.0,2957544.33841017,1159972.9165505874,422583.31357942073
53.078338347850256,2904496.6650087168,1152466.5195936805,417151.4188101561
106.15667669570051,2851435.9431611593,1138966.6436651913,407461.5796077218
159.23501504355076,2745337.837733272,1121682.789441154,395204.2022133024
212.31335339140102,2639233.220412017,1101351.7304742062,380999.23786807375
265.39169173925126,2533122.79787426,1078351.9204745714,365207.7872850624
318.4700300871015,2400494.8603841593,1052893.7264277707,348072.69083381246
371.5483684349518,2267862.4303984977,1025085.8717556031,329886.41568637395
424.62670678280205,2108714.1020336845,994963.185529666,310881.97709619044
477.7050451306523,1976075.218241519,962497.2648164663,290966.16961156426
530.7833834785025,1816921.669798844,927596.8546826036,270212.8912286094
583.8617218263528,1657765.4314301207,890099.4360514904,248672.57013861864
636.940060174203,1498606.6633049739,849752.2941788747,226673.64964876536
690.0183985220533,1339444.73416605,806177.5940582888,204094.3200841806
743.0967368699036,1180277.6140597863,758809.1227477276,180750.17851123627
796.1750752177538,994606.3914452061,706772.6239791492,156677.70351518388
849.2534135656041,835429.5826588741,648639.5452390714,132073.99026167422
902.3317519134544,649750.2166561994,581849.7808761619,106128.88048571875
955.4100902613046,464058.99568539654,501048.7529494852,78730.14720797693
1008.4884286091549,278315.62057953706,391075.20951411256,47739.5249079473
