H (A/m)	M (A/m)
3978873.5751313814	867989.0924854622
3713615.3367892895	867976.6987647128
3448357.0984471976	867962.561771344
3183098.8601051057	867946.33793774
2917840.621763014	867927.5944332246
2652582.3834209214	867905.779819172
2387324.145078829	867880.1826827807
2122065.906736737	867849.8723549016
1856807.6683946445	867813.6122152808
1591549.4300525526	867769.7300166292
1326291.1917104605	867715.9189623827
1061032.9533683686	867648.9233140324
795774.7150262764	867564.0249377537
530516.4766841844	867454.170258491
265258.2383420923	867308.4155607636
2.6504622331100836e-10	867108.9957657388
-265258.2383420918	866825.3921818422
-530516.4766841839	866401.1740200154
-795774.715026276	865720.9667483922
-1061032.9533683679	864510.2689016714
-1326291.19171046	861913.495554585
-1591549.4300525521	-867769.730018491
-1856807.668394644	-867813.6103996208
-2122065.906736736	-867849.8712291642
-2387324.145078829	-867880.181987901
-2652582.383420921	-867905.7794006612
-2917840.621763013	-867927.5941926006
-3183098.860105105	-867946.3378106807
-3448357.098447197	-867962.5617170142
-3713615.336789289	-867976.6987557026
-3978873.575131381	-867989.0925455962
